Bank,Date,Currency,Currency Code,TT Buy,TT Sell
HDFC,2026-04-27,UAE Dirham,AED,24.86,26.46
HDFC,2026-04-27,Australian Dollar,AUD,24.34,25.91
HDFC,2026-04-27,BHD,BHD,241.73,257.52
HDFC,2026-04-27,Canadian Dollar,CAD,66.97,70.99
HDFC,2026-04-27,Swiss Franc,CHF,116.99,123.25
HDFC,2026-04-27,CNH,CNH,13.18,14.43
HDFC,2026-04-27,Chinese Yuan,CNY,-,-
HDFC,2026-04-27,Danish Krone,DKK,14.28,15.31
HDFC,2026-04-27,Euro,EUR,108.15,112.94
HDFC,2026-04-27,British Pound,GBP,124.09,131.22
HDFC,2026-04-27,Hong Kong Dollar,HKD,11.65,12.40
HDFC,2026-04-27,Japanese Yen,JPY,0.5684,0.6152
HDFC,2026-04-27,KRW,KRW,0.0611,0.0671
HDFC,2026-04-27,KWD,KWD,297.60,317.40
HDFC,2026-04-27,LKR,LKR,-,-
HDFC,2026-04-27,MYR,MYR,-,-
HDFC,2026-04-27,NOK,NOK,9.65,10.63
HDFC,2026-04-27,New Zealand Dollar,NZD,53.18,57.90
HDFC,2026-04-27,OMR,OMR,236.87,252.73
HDFC,2026-04-27,QAR,QAR,24.94,26.77
HDFC,2026-04-27,RUB,RUB,-,-
HDFC,2026-04-27,SEK,SEK,9.74,10.72
HDFC,2026-04-27,Singapore Dollar,SGD,72.56,75.33
HDFC,2026-04-27,THB,THB,2.81,3.02
HDFC,2026-04-27,TRY,TRY,-,-
HDFC,2026-04-27,US Dollar,USD,92.55,95.95
HDFC,2026-04-27,ZAR,ZAR,5.46,5.96
ICICI,2026-04-27,UAE Dirham,AED,24.86,26.46
ICICI,2026-04-27,Australian Dollar,AUD,24.35,25.88
ICICI,2026-04-27,BHD,BHD,241.71,257.58
ICICI,2026-04-27,Canadian Dollar,CAD,67.18,70.9
ICICI,2026-04-27,Swiss Franc,CHF,117.29,123.06
ICICI,2026-04-27,Chinese Yuan,CNY,13.18,14.43
ICICI,2026-04-27,Danish Krone,DKK,14.26,15.29
ICICI,2026-04-27,Euro,EUR,108.01,112.91
ICICI,2026-04-27,British Pound,GBP,124.47,131.02
ICICI,2026-04-27,Hong Kong Dollar,HKD,11.68,12.38
ICICI,2026-04-27,Japanese Yen,JPY,57.59,60.99
ICICI,2026-04-27,KWD,KWD,293.54,319.95
ICICI,2026-04-27,MYR,MYR,22.75,24.93
ICICI,2026-04-27,NOK,NOK,9.76,10.55
ICICI,2026-04-27,New Zealand Dollar,NZD,54.23,57.23
ICICI,2026-04-27,OMR,OMR,237.8,252.31
ICICI,2026-04-27,PLN,PLN,25.07,26.94
ICICI,2026-04-27,QAR,QAR,25.07,26.84
ICICI,2026-04-27,SEK,SEK,9.88,10.65
ICICI,2026-04-27,Singapore Dollar,SGD,72.64,75.29
ICICI,2026-04-27,THB,THB,2.82,3.01
ICICI,2026-04-27,US Dollar,USD,92.59,95.68
ICICI,2026-04-27,WON,WON,0.0612,0.067
ICICI,2026-04-27,ZAR,ZAR,5.46,5.93
IOB,2026-04-27,UAE Dirham,AED,25.44,25.82
IOB,2026-04-27,Australian Dollar,AUD,67.07,67.81
IOB,2026-04-27,Canadian Dollar,CAD,68.50,69.26
IOB,2026-04-27,Swiss Franc,CHF,119.32,120.64
IOB,2026-04-27,Danish Krone,DKK,14.67,14.83
